day_of_week,date,holiday_name,holiday_type
Wednesday,Jun 17,Maharana Pratap Jayanti,Regional Holiday
Thursday,Jun 18,Martyrdom Day of Sri Guru Arjun Dev Ji,Regional Holiday
Thursday,Jun 25,Ashura,Regional Holiday
Thursday,Jun 25,Ashura,Regional Holiday
Friday,Jun 26,Ashura,Regional Holiday
Monday,Jun 29,Sant Guru Kabir Jayanti,Regional Holiday
Tuesday,Jun 30,Remna Ni,Regional Holiday
Sunday,Jul 05,Guru Hargobind Ji's Birthday,Regional Holiday
Monday,Jul 06,MHIP Day,Regional Holiday
Thursday,Jul 09,Behdienkhlam,Regional Holiday
Monday,Jul 13,Bhanu Jayanti,Regional Holiday
Thursday,Jul 16,Ratha Yatra,Regional Holiday
Thursday,Jul 16,Harela,Regional Holiday
Friday,Jul 17,U Tirot Sing Day,Regional Holiday
Tuesday,Jul 21,Kharchi Puja,Regional Holiday
Friday,Jul 31,Martyrdom Day of Shaheed Udham Singh,Regional Holiday
Tuesday,Aug 04,Chehlum,Regional Holiday
Friday,Aug 07,Ker Puja,Regional Holiday
Saturday,Aug 08,Tendong Lho Rum Faat,Regional Holiday
Sunday,Aug 09,World Tribal Day,Regional Holiday
Monday,Aug 10,Bonalu,Regional Holiday
Wednesday,Aug 12,Karkidaka Vavu,Regional Holiday
Thursday,Aug 13,Patriot's Day,Regional Holiday
Saturday,Aug 15,Independence Day,Public Holiday
Saturday,Aug 15,Parsi New Year,Regional Holiday
Sunday,Aug 16,De jure Transfer Day,Regional Holiday
Tuesday,Aug 25,Mawlid,Regional Holiday
Tuesday,Aug 25,First Onam,Regional Holiday
Wednesday,Aug 26,Mawlid,Regional Holiday
Wednesday,Aug 26,Maulud Nabi,Regional Holiday
Wednesday,Aug 26,Thiruvonam,Regional Holiday
Wednesday,Aug 26,Raksha Bandhan,Regional Holiday
Thursday,Aug 27,Third Onam,Regional Holiday
Thursday,Aug 27,Jhulan Purnima,Regional Holiday
Friday,Aug 28,Raksha Bandhan,Regional Holiday
Friday,Aug 28,Friday after Eid e-Milad-un Nabi,Regional Holiday
Friday,Aug 28,Fourth Onam,Regional Holiday
Friday,Aug 28,Ayyankali Jayanthi,Regional Holiday
Friday,Aug 28,Sree Narayana Guru Jayanti,Regional Holiday
Tuesday,Sep 01,Tithi of Sri Sri Madhav Dev,Regional Holiday
Friday,Sep 04,Janmashtami,Regional Holiday
Saturday,Sep 05,Karam Puja,Regional Holiday
Saturday,Sep 12,Tithi of Srimatna Sankardev,Regional Holiday
Monday,Sep 14,Ganesh Chaturthi,Regional Holiday
Monday,Sep 14,Vinayagar Chathurthi,Regional Holiday
Tuesday,Sep 15,Ganesh Chaturthi Holiday,Regional Holiday
Tuesday,Sep 15,Samvatsari,Regional Holiday
Tuesday,Sep 15,Nuakhai,Regional Holiday
Wednesday,Sep 16,Day following Nuakhai,Regional Holiday
Monday,Sep 21,Sree Narayana Guru Samadhi,Regional Holiday
Monday,Sep 21,Ramdev Jayanti and Teja Dashmi,Regional Holiday
Monday,Sep 21,Janmostav of Srimatna Sankardev,Regional Holiday
Tuesday,Sep 22,Janmashtami,Regional Holiday
Wednesday,Sep 23,Haryana Heroes' Martyrdom Day,Regional Holiday
Wednesday,Sep 23,Maharaja Hari Singh Birth Anniversary,Regional Holiday
Wednesday,Sep 30,Jananeta Irawat Birth Day,Regional Holiday
Friday,Oct 02,Mahatma Gandhi Birthday,Public Holiday
Saturday,Oct 10,Mahalaya,Regional Holiday
Sunday,Oct 11,Maharaja Agrasen Jayanti,Regional Holiday
Saturday,Oct 17,Maha Saptami,Regional Holiday
Sunday,Oct 18,Saddula Bathukamma,Regional Holiday
Sunday,Oct 18,Kati Bihu,Regional Holiday
Sunday,Oct 18,Maha Saptami,Regional Holiday
Monday,Oct 19,Navami of Durga Puja,Regional Holiday
Monday,Oct 19,Durga Ashtami,Regional Holiday
Monday,Oct 19,Mahanavami,Regional Holiday
Monday,Oct 19,Ayudha Puja,Regional Holiday
Tuesday,Oct 20,Navami of Durga Puja,Regional Holiday
Tuesday,Oct 20,Mahanavami,Regional Holiday
Tuesday,Oct 20,Ayudha Puja,Regional Holiday
Tuesday,Oct 20,Dussehra,Regional Holiday
Tuesday,Oct 20,Dussehra,Regional Holiday
Tuesday,Oct 20,Durga Puja,Regional Holiday
Wednesday,Oct 21,Dussehra,Regional Holiday
Wednesday,Oct 21,Durga Puja,Regional Holiday
Wednesday,Oct 21,Durga Puja,Regional Holiday
Wednesday,Oct 21,Following day of Vijaya Dasami Holiday,Regional Holiday
Sunday,Oct 25,Kumar Purnima,Regional Holiday
Monday,Oct 26,Lakshmi Puja Holiday,Regional Holiday
Monday,Oct 26,Maharishi Valmiki Birthday,Regional Holiday
Monday,Oct 26,Accession Day,Regional Holiday
Saturday,Oct 31,Sardar Patel's Birthday,Regional Holiday
Sunday,Nov 01,Haryana Day,Regional Holiday
Sunday,Nov 01,Kannada Rajyothsava,Regional Holiday
Sunday,Nov 01,Kut,Regional Holiday
Sunday,Nov 01,Puducherry Liberation Day,Regional Holiday
Sunday,Nov 01,Lhabab Duechen,Regional Holiday
Sunday,Nov 08,Diwali,Regional Holiday
Sunday,Nov 08,Kali Puja,Regional Holiday
Sunday,Nov 08,Narak Chaturdashi,Regional Holiday
Monday,Nov 09,Govardhan Puja,Regional Holiday
Monday,Nov 09,Vishvakarma Day,Regional Holiday
Monday,Nov 09,Diwali Holiday,Regional Holiday
Tuesday,Nov 10,Vikram Samvat New Year,Regional Holiday
Tuesday,Nov 10,Bhai Bij,Regional Holiday
Tuesday,Nov 10,Diwali (Bali Pratipada),Regional Holiday
Wednesday,Nov 11,Bhai Bij,Regional Holiday
Wednesday,Nov 11,Bhratridwitiya,Regional Holiday
Thursday,Nov 12,Ningol Chakkouba,Regional Holiday
Friday,Nov 13,Wangala Festival,Regional Holiday
Sunday,Nov 15,Chhath Puja,Regional Holiday
Sunday,Nov 15,Birsa Munda Birth Anniversary,Regional Holiday
Monday,Nov 16,Kartar Singh Sarabha Martyrdom Day,Regional Holiday
Monday,Nov 23,Seng Kut Snem,Regional Holiday
Tuesday,Nov 24,Guru Nanak's Birthday,Regional Holiday
Tuesday,Nov 24,Lachit Divas,Regional Holiday
Tuesday,Nov 24,Rasa Purnima,Regional Holiday
Friday,Nov 27,Kanakadasa Jayanthi,Regional Holiday
Tuesday,Dec 01,Indigenous Faith Day,Regional Holiday
Tuesday,Dec 01,State Inauguration Day,Regional Holiday
Wednesday,Dec 02,Asom Divas,Regional Holiday
Thursday,Dec 03,Feast of St. Francis Xavier,Regional Holiday
Wednesday,Dec 09,Losoong/Namsoong,Regional Holiday
Thursday,Dec 10,Losoong/Namsoong,Regional Holiday
Friday,Dec 11,Losoong/Namsoong,Regional Holiday
Saturday,Dec 12,Pa Togan Nengminza Sangma,Regional Holiday
Saturday,Dec 12,Losoong/Namsoong,Regional Holiday
Sunday,Dec 13,Losoong/Namsoong,Regional Holiday
Monday,Dec 14,Martyrdom of Sri Guru Teg Bahadur Ji,Regional Holiday
Friday,Dec 18,Death Anniversary of U SoSo Tham,Regional Holiday
Saturday,Dec 19,Goa Liberation Day,Regional Holiday
Wednesday,Dec 23,Imam Ali's Birthday,Regional Holiday
Thursday,Dec 24,Christmas Eve,Regional Holiday
Friday,Dec 25,Christmas Day,Regional Holiday
Saturday,Dec 26,Christmas Holiday,Regional Holiday
Saturday,Dec 26,Boxing Day,Regional Holiday
Sunday,Dec 27,Christmas Festival,Regional Holiday
Monday,Dec 28,Parkash Gurpurab Sri Guru Gobind Singh Ji,Regional Holiday
Wednesday,Dec 30,U Kiang Nangbah,Regional Holiday
Thursday,Dec 31,New Year's Eve,Regional Holiday
